EEG C3-A1	EEG O1-A1	EEG C4-A1	EEG O2-A1
3.41796875	-7.32421875	-1.5625	1.46484375
3.3203125	-3.22265625	-2.9296875	2.34375
4.98046875	0.78125	-4.98046875	6.8359375
6.25	2.9296875	-3.3203125	12.3046875
11.328125	5.37109375	-0.09765625	17.67578125
14.35546875	10.05859375	4.19921875	23.4375
14.74609375	12.20703125	4.39453125	23.046875
12.890625	11.81640625	2.1484375	17.7734375
8.203125	12.01171875	-1.171875	14.84375
3.61328125	8.30078125	-3.61328125	11.03515625
-1.171875	4.8828125	-8.0078125	7.51953125
-4.58984375	-1.07421875	-11.1328125	4.4921875
-12.20703125	-5.6640625	-16.796875	-2.44140625
-15.33203125	-12.20703125	-20.1171875	-8.49609375
-13.18359375	-15.234375	-17.96875	-10.546875
-12.20703125	-19.82421875	-14.2578125	-12.5
-6.640625	-19.3359375	-5.95703125	-10.9375
1.7578125	-17.48046875	1.46484375	-7.32421875
10.25390625	-11.328125	5.6640625	-3.02734375
20.01953125	-1.5625	10.546875	3.41796875
20.8984375	3.61328125	8.10546875	3.90625
16.69921875	7.2265625	1.171875	-0.9765625
5.6640625	6.4453125	-3.515625	-6.34765625
-7.12890625	3.02734375	-11.9140625	-17.578125
-13.57421875	-2.5390625	-14.453125	-24.31640625
-14.35546875	-7.2265625	-13.28125	-26.66015625
-11.5234375	-12.01171875	-9.1796875	-27.34375
-5.6640625	-13.96484375	-1.07421875	-22.8515625
-0.9765625	-17.96875	2.24609375	-19.82421875
4.296875	-16.50390625	6.54296875	-14.94140625
1.66015625	-19.43359375	3.125	-11.9140625
0.1953125	-19.04296875	1.07421875	-7.03125
1.07421875	-14.35546875	-0.1953125	0.09765625
3.02734375	-10.3515625	2.44140625	5.6640625
5.76171875	-6.25	8.69140625	9.765625
9.47265625	-2.5390625	10.64453125	7.6171875
8.49609375	-1.3671875	8.0078125	2.63671875
3.80859375	-0.390625	1.3671875	-3.22265625
-2.44140625	0.78125	-12.01171875	-10.64453125
-9.9609375	1.3671875	-21.19140625	-14.35546875
-19.140625	-0.68359375	-29.98046875	-16.9921875
-25.1953125	-5.17578125	-32.71484375	-21.484375
-26.953125	-8.88671875	-33.203125	-23.2421875
-25.87890625	-13.37890625	-28.90625	-22.55859375
-23.33984375	-17.1875	-25	-23.92578125
-14.74609375	-21.09375	-15.8203125	-22.4609375
-2.34375	-20.703125	-5.2734375	-15.72265625
6.4453125	-21.77734375	0.68359375	-11.23046875
13.4765625	-18.26171875	6.25	-4.58984375
13.28125	-17.28515625	5.078125	-3.125
8.0078125	-13.28125	2.34375	-2.9296875
-0.78125	-13.671875	-0.87890625	-7.421875
-8.3984375	-14.2578125	-2.734375	-9.5703125
-14.84375	-14.55078125	-6.93359375	-14.2578125
-19.7265625	-15.8203125	-12.3046875	-20.3125
-16.6015625	-16.50390625	-16.015625	-24.0234375
-11.1328125	-11.81640625	-16.796875	-24.51171875
-6.54296875	-10.44921875	-16.89453125	-23.14453125
-3.7109375	-5.6640625	-15.625	-16.6015625
-2.1484375	-0.48828125	-12.59765625	-11.1328125
1.5625	3.41796875	-8.88671875	-5.078125
5.859375	4.58984375	-1.171875	1.66015625
9.5703125	1.5625	5.17578125	6.25
9.66796875	-4.78515625	8.49609375	5.2734375
6.640625	-9.1796875	4.8828125	4.8828125
-1.171875	-14.2578125	-5.078125	-3.61328125
-11.9140625	-17.1875	-18.75	-12.20703125
-17.7734375	-18.1640625	-28.22265625	-16.40625
-28.22265625	-20.8984375	-37.59765625	-21.58203125
-34.765625	-20.703125	-42.1875	-23.6328125
-43.1640625	-21.6796875	-45.703125	-25.78125
-44.23828125	-18.1640625	-43.84765625	-23.53515625
-39.35546875	-13.37890625	-37.6953125	-19.23828125
-31.8359375	-7.32421875	-31.73828125	-12.890625
-19.3359375	1.07421875	-25	-4.98046875
-11.9140625	5.56640625	-20.21484375	3.22265625
-11.5234375	8.10546875	-21.77734375	7.32421875
-13.18359375	9.1796875	-23.92578125	11.42578125
-22.55859375	2.83203125	-31.640625	5.56640625
-30.95703125	-4.8828125	-37.40234375	-1.07421875
-38.96484375	-11.71875	-41.69921875	-8.88671875
